id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2005-elite-01-lillestrøm-musikkorps,2005,Elite,1,Lillestrøm Musikkorps,Trond Sverre Myhre,"Symphony no. 1, ‘Gilgamesh’","['Symphony no. 1, ‘Gilgamesh’']",,[],95.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-23T13:59:30.452135
2005-elite-02-dragefjellets-musikkorps-bergen,2005,Elite,2,Dragefjellets Musikkorps Bergen,Helge Haukås,"Parable for Band (Parable IX), Op. 121; Rebroll, Op. 31","['Parable for Band (Parable IX), Op. 121', 'Rebroll, Op. 31']",,[],94.0,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-23T13:59:30.452139
2005-elite-03-sarpsborg-janitsjarkorps,2005,Elite,3,Sarpsborg Janitsjarkorps,Geir Holm,Symphony in B flat for Concert Band; In the Beginning,"['Symphony in B flat for Concert Band', 'In the Beginning']",,[],92.0,100.0,https://nmbrass.no/nmjanitsjar/static/sarpsborgjanitsjarkorps.jpg,,,,2025-09-23T13:59:30.452142
2005-elite-04-musikkforeningen-nidarholm,2005,Elite,4,Musikkforeningen Nidarholm,Espen Andersen,Dionysiaques; Belkis: Regina di Saba,"['Dionysiaques', 'Belkis: Regina di Saba']",,[],91.0,100.0,https://nidarholm.no/data/gallery/gallery1/img/dsc0378-web.jpg,,,,2025-09-23T13:59:30.452144
2005-elite-05-opus-82,2005,Elite,5,Opus 82,Sverre Stakston Olsrud,Toccata and Fugue in D minor; Wait of the World,"['Toccata and Fugue in D minor', 'Wait of the World']",,[],90.0,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-23T13:59:30.452147
2005-elite-06-sinsen-konsertorkester,2005,Elite,6,Sinsen Konsertorkester,Thomas Rimul,Virvl; Dance Suite,"['Virvl', 'Dance Suite']",,[],89.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-09-23T13:59:30.452149
2005-elite-07-sandvikens-ungdomskorps,2005,Elite,7,Sandvikens Ungdomskorps,Helge Haukås,Appartions; Symphony for Wind Orchestra,"['Appartions', 'Symphony for Wind Orchestra']",Montage,['Montage'],88.0,100.0,,,,,2025-09-23T13:59:30.452153
2005-elite-07-vestre-aker-musikkorps,2005,Elite,7,Vestre Aker Musikkorps,Cathrine Winnes,Smetana Fanfare; A night on Culbin Sands; Dionysiaques,"['Smetana Fanfare', 'A night on Culbin Sands', 'Dionysiaques']",,[],88.0,100.0,https://nmbrass.no/nmjanitsjar/static/vestreakermusikkorps.jpg,,,,2025-09-23T13:59:30.452155
2005-elite-09-nittedal-og-hakadal-janitsjar,2005,Elite,9,Nittedal og Hakadal Janitsjar,Christian Skarbø Tenfjord,Paganini Variations; Bells for Stokowski,"['Paganini Variations', 'Bells for Stokowski']",,[],86.0,100.0,http://musikkorps.no/wp-content/uploads/2015/01/NM-Nittedal-og-Hakadal-Janitsjar.jpg,,,,2025-09-23T13:59:30.452158
2005-elite-10-sagene-janitsjarkorps,2005,Elite,10,Sagene Janitsjarkorps,Tom Skjellum,Meditations; Cantus Laetus,"['Meditations', 'Cantus Laetus']",,[],85.0,100.0,https://nmbrass.no/nmjanitsjar/static/sagenejanitsjarkorps.jpg,,,,2025-09-23T13:59:30.452160
2005-1-divisjon-01-sandefjord-musikkorps,2005,1. divisjon,1,Sandefjord Musikkorps,Odd Terje Lysebo,Symphony II,['Symphony II'],Lost Songs,['Lost Songs'],95.0,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-09-23T13:59:30.452163
2005-1-divisjon-02-mo-hornmusikk,2005,1. divisjon,2,Mo Hornmusikk,Tor Halvard Nilsen,Tam o'Shanter; Sidus,"[""Tam o'Shanter"", 'Sidus']",,[],93.0,100.0,https://nmbrass.no/nmjanitsjar/static/mohornmusikk.jpg,,,,2025-09-23T13:59:30.452166
2005-1-divisjon-03-borge-musikkorps,2005,1. divisjon,3,Borge Musikkorps,Christer Bergby,Music for Prague 1968,['Music for Prague 1968'],,[],92.0,100.0,https://nmbrass.no/nmjanitsjar/static/borgemusikkorps.jpg,,,,2025-09-23T13:59:30.452168
2005-1-divisjon-04-skjold-nesttun-janitsjar,2005,1. divisjon,4,Skjold Nesttun Janitsjar,Bengt Florvåg,Norwegian Carnival; Underlige Aftenlufte; Fantasies on a theme by Haydn,"['Norwegian Carnival', 'Underlige Aftenlufte', 'Fantasies on a theme by Haydn']",,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/skjoldnesttunjanitsjar.jpg,,,,2025-09-23T13:59:30.452171
2005-1-divisjon-05-drammen-konsertorkester,2005,1. divisjon,5,Drammen Konsertorkester,John-Philip Hannevik,Masque; Mountain Song; Trittico,"['Masque', 'Mountain Song', 'Trittico']",,[],89.0,100.0,https://nmbrass.no/nmjanitsjar/static/drammenkonsertorkester.jpg,,,,2025-09-23T13:59:30.452173
2005-1-divisjon-06-bispehaugen-ungdomskorps,2005,1. divisjon,6,Bispehaugen Ungdomskorps,Tomas Carstensen,Postcard; Paganini Variations,"['Postcard', 'Paganini Variations']",,[],88.0,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-09-23T13:59:30.452175
2005-1-divisjon-07-halsen-musikkforening,2005,1. divisjon,7,Halsen Musikkforening,Espen Andersen,Olympica; Poseidon,"['Olympica', 'Poseidon']",,[],87.0,100.0,,,,,2025-09-23T13:59:30.452178
2005-1-divisjon-08-kolbotn-konsertorkester,2005,1. divisjon,8,Kolbotn Konsertorkester,Rune André Halvorsen,"Theme and Variations for Wind Band, Op. 43a; Festival Overture, Op. 39","['Theme and Variations for Wind Band, Op. 43a', 'Festival Overture, Op. 39']",,[],86.0,100.0,,,,,2025-09-23T13:59:30.452180
2005-1-divisjon-09-vestsidens-musikkorps,2005,1. divisjon,9,Vestsidens Musikkorps,Arild Andersen,Contrasts; L’Homme Armé: Variations for Wind Ensemble,"['Contrasts', 'L’Homme Armé: Variations for Wind Ensemble']",,[],85.0,100.0,https://nmbrass.no/nmjanitsjar/static/vestsidensmusikkorps.jpg,,,,2025-09-23T13:59:30.452183
2005-1-divisjon-10-byneset-musikkorps,2005,1. divisjon,10,Byneset Musikkorps,Tomas Carstensen,Morning Star; Divertimento (unntatt 3. sats),"['Morning Star', 'Divertimento (unntatt 3. sats)']",,[],84.0,100.0,https://nmbrass.no/nmjanitsjar/static/bynesetmusikkorps.jpg,,,,2025-09-23T13:59:30.452185
2005-1-divisjon-11-romerike-konsertorkester,2005,1. divisjon,11,Romerike Konsertorkester,Tarjei W. Grimsby,Østerdalsrapsodi; Festival Variations,"['Østerdalsrapsodi', 'Festival Variations']",,[],83.0,100.0,,,,,2025-09-23T13:59:30.452187
2005-1-divisjon-12-sande-musikkorps,2005,1. divisjon,12,Sande Musikkorps,Terje Grøndahl,Saga; Symphonic Overture,"['Saga', 'Symphonic Overture']",,[],82.0,100.0,,,,,2025-09-23T13:59:30.452190
2005-2-divisjon-01-lisleby-musikkorps,2005,2. divisjon,1,Lisleby Musikkorps,Hans Andreas Kjølberg,Eine Kleine Yiddishe Ragmusik; Blue Shades,"['Eine Kleine Yiddishe Ragmusik', 'Blue Shades']",,[],98.0,100.0,https://nmbrass.no/nmjanitsjar/static/lislebymusikkorps.jpg,,,,2025-09-23T13:59:30.452192
2005-2-divisjon-02-tromsø-orkesterforenings-janitsjarkorps,2005,2. divisjon,2,Tromsø Orkesterforenings Janitsjarkorps,Håvard Kroka,Unheimlichmaneuver; Tam o'Shanter,"['Unheimlichmaneuver', ""Tam o'Shanter""]",,[],96.0,100.0,"https://static.wixstatic.com/media/dd5bbc_b0c682bb35064071b71c0549c444563e.jpg/v1/fill/w_859,h_602,al_c,q_85,usm_0.66_1.00_0.01/dd5bbc_b0c682bb35064071b71c0549c444563e.jpg",,,,2025-09-23T13:59:30.452195
2005-2-divisjon-03-eidsvoll-janitsjarkorps,2005,2. divisjon,3,Eidsvoll Janitsjarkorps,Erling Johan Myrseth,"Symphony no. 1, The Lord of the Rings, ""Gandalf""; Variations on a Theme of Robert Schumann (""The Happy Farmer"")","['Symphony no. 1, The Lord of the Rings, ""Gandalf""', 'Variations on a Theme of Robert Schumann (""The Happy Farmer"")']",,[],94.0,100.0,https://nmbrass.no/nmjanitsjar/static/eidsvolljanitsjarkorps.jpg,,,,2025-09-23T13:59:30.452197
2005-2-divisjon-04-lungegaardens-musikkorps,2005,2. divisjon,4,Lungegaardens Musikkorps,Stian E. Svendsen,"Blue Shades; Armenian Dances, Part 1","['Blue Shades', 'Armenian Dances, Part 1']",,[],93.0,100.0,https://nmbrass.no/nmjanitsjar/static/lungegaardensmusikkorps.jpg,,,,2025-09-23T13:59:30.452200
2005-2-divisjon-05-lørenskog-musikkorps,2005,2. divisjon,5,Lørenskog Musikkorps,Per Gjermund Storrø,Symphonic Overture; Hjalar-Ljod,"['Symphonic Overture', 'Hjalar-Ljod']",,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/lorenskogmusikkorps.jpg,,,,2025-09-23T13:59:30.452202
2005-2-divisjon-06-alvøens-musikkforening,2005,2. divisjon,6,Alvøens Musikkforening,Bengt Florvåg,Sinfonietta No 3,['Sinfonietta No 3'],Rheinfelden Sketches,['Rheinfelden Sketches'],90.0,100.0,,,,,2025-09-23T13:59:30.452205
2005-2-divisjon-07-bjølsen-ungdomskorps,2005,2. divisjon,7,Bjølsen Ungdomskorps,Trond Elnes,Pentium; Internal Combustion,"['Pentium', 'Internal Combustion']",,[],89.0,100.0,,,,,2025-09-23T13:59:30.452208
2005-2-divisjon-08-østre-aker-musikkorps,2005,2. divisjon,8,Østre Aker Musikkorps,Kjell Martinsen,"Militæroverture, op. 67; An Original Suite for Military Band","['Militæroverture, op. 67', 'An Original Suite for Military Band']",,[],88.0,100.0,,,,,2025-09-23T13:59:30.452211
2005-2-divisjon-08-sortland-musikkforening,2005,2. divisjon,8,Sortland Musikkforening,Ketil Vangen,Jubilante; Third Suite for Band; The cutting of the hay,"['Jubilante', 'Third Suite for Band', 'The cutting of the hay']",,[],88.0,100.0,,,,,2025-09-23T13:59:30.452213
2005-2-divisjon-08-strusshamn-musikkforening,2005,2. divisjon,8,Strusshamn Musikkforening,Reid Gilje,Mutanza,['Mutanza'],,[],88.0,100.0,https://nmbrass.no/nmjanitsjar/static/strusshamnmusikkforening.jpg,,,,2025-09-23T13:59:30.452215
2005-2-divisjon-11-kolbu-janitsjarkorps,2005,2. divisjon,11,Kolbu Janitsjarkorps,Per Ståle Knardal,Han tek ikkje glansen av livet; Nostradamus,"['Han tek ikkje glansen av livet', 'Nostradamus']",,[],86.0,100.0,,,,,2025-09-23T13:59:30.452218
2005-2-divisjon-11-tønsberg-janitsjarkorps,2005,2. divisjon,11,Tønsberg Janitsjarkorps,Egil Johannes Lysebo,Dances from Crete,['Dances from Crete'],,[],86.0,100.0,https://nmbrass.no/nmjanitsjar/static/tonsbergjanitsjarkorps.jpg,,,,2025-09-23T13:59:30.452220
2005-2-divisjon-13-heimdal-musikkorps,2005,2. divisjon,13,Heimdal Musikkorps,Per Kvistad Uddu,Magic Overture; Man in the Ice,"['Magic Overture', 'Man in the Ice']",,[],85.0,100.0,https://nmbrass.no/nmjanitsjar/static/heimdalmusikkorps.jpg,,,,2025-09-23T13:59:30.452223
2005-2-divisjon-14-aalesunds-ungdomsmusikkorps,2005,2. divisjon,14,Aalesunds Ungdomsmusikkorps,Arnfinn Dalhaug,"Fanfare, Ballad and Jubilee; Norwegian Suite for Band, 2. og 3. sats","['Fanfare, Ballad and Jubilee', 'Norwegian Suite for Band, 2. og 3. sats']",,[],84.0,100.0,,,,,2025-09-23T13:59:30.452225
2005-2-divisjon-15-musikklaget-lurlåt,2005,2. divisjon,15,Musikklaget Lurlåt,Frank Harneshaug,Windows of the World,['Windows of the World'],,[],83.0,100.0,,,,,2025-09-23T13:59:30.452227
2005-3-divisjon-01-ranheim-musikkforening,2005,3. divisjon,1,Ranheim Musikkforening,Eivind Erdal,Music for a Festival,['Music for a Festival'],,[],93.0,100.0,https://nmbrass.no/nmjanitsjar/static/ranheimmusikkforening.png,,,,2025-09-23T13:59:30.452230
2005-3-divisjon-02-åsane-musikklag,2005,3. divisjon,2,Åsane Musikklag,Torbjørn Dagestad Jr,Sinfonietta No 3,['Sinfonietta No 3'],Rheinfelden Sketches,['Rheinfelden Sketches'],92.0,100.0,http://www.aasanemusikklag.no/data/_uploaded/image/aml2015-mindre.jpg,,,,2025-09-23T13:59:30.452232
2005-3-divisjon-03-hovin-musikkorps,2005,3. divisjon,3,Hovin Musikkorps,Martin Torp,Banja Luka,['Banja Luka'],,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/hovinmusikkorps.jpg,,,,2025-09-23T13:59:30.452235
2005-3-divisjon-04-kolstad-janitsjar,2005,3. divisjon,4,Kolstad Janitsjar,Gunnar Røen,Second Suite for Band,['Second Suite for Band'],,[],90.0,100.0,,,,,2025-09-23T13:59:30.452237
