id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2013-elite-01-christiania-blåseensemble,2013,Elite,1,Christiania Blåseensemble,Cathrine Winnes,Legend Of The Sword,['Legend Of The Sword'],,[],97.0,100.0,https://nmbrass.no/nmjanitsjar/static/christianiablaseensemble.jpg,,,,2025-08-25T20:48:54.099665
2013-elite-02-unknown-orchestra-#2,2013,Elite,2,Unknown Orchestra #2,Irene Anda,A Pittsburgh Overture,['A Pittsburgh Overture'],,[],96.0,100.0,,,,,2025-08-25T20:48:54.099668
2013-elite-03-dragefjellets-musikkorps-bergen,2013,Elite,3,Dragefjellets Musikkorps Bergen,Bjørn Breistein,Indiana Jones And The Temple Of Doom,['Indiana Jones And The Temple Of Doom'],,[],94.0,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-08-25T20:48:54.099670
2013-elite-04-sandvikens-ungdomskorps,2013,Elite,4,Sandvikens Ungdomskorps,Tormod Flaten,"Fanfare, Romance and Finale (Fanfare og Romance)","['Fanfare, Romance and Finale (Fanfare og Romance)']",,[],93.0,100.0,,,,,2025-08-25T20:48:54.099672
2013-elite-05-nittedal-og-hakadal-janitsjar,2013,Elite,5,Nittedal og Hakadal Janitsjar,Helge Haukås,Interlude For Band,['Interlude For Band'],,[],91.0,100.0,http://musikkorps.no/wp-content/uploads/2015/01/NM-Nittedal-og-Hakadal-Janitsjar.jpg,,,,2025-08-25T20:48:54.099674
2013-elite-06-sarpsborg-janitsjarkorps,2013,Elite,6,Sarpsborg Janitsjarkorps,Rune André Halvorsen,Minerva,['Minerva'],,[],90.0,100.0,https://nmbrass.no/nmjanitsjar/static/sarpsborgjanitsjarkorps.jpg,,,,2025-08-25T20:48:54.099676
2013-elite-07-lillestrøm-musikkorps,2013,Elite,7,Lillestrøm Musikkorps,Trond Sverre Myhre,Alte Swingkameraden,['Alte Swingkameraden'],,[],89.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-08-25T20:48:54.099678
2013-elite-08-kolbu-janitsjarkorps,2013,Elite,8,Kolbu Janitsjarkorps,Christian Skarbø Tenfjord,Feel The Beat,['Feel The Beat'],,[],88.0,100.0,,,,,2025-08-25T20:48:54.099680
2013-elite-09-vestre-aker-musikkorps,2013,Elite,9,Vestre Aker Musikkorps,Thomas Rimul,With Trumpets And Drums (A Northern Salute),['With Trumpets And Drums (A Northern Salute)'],,[],87.0,100.0,https://nmbrass.no/nmjanitsjar/static/vestreakermusikkorps.jpg,,,,2025-08-25T20:48:54.099682
2013-elite-10-sandefjord-musikkorps,2013,Elite,10,Sandefjord Musikkorps,Trond Husebø,Tales Of The Emerald Isle,['Tales Of The Emerald Isle'],,[],86.0,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-08-25T20:48:54.099684
2013-1-divisjon-01-kolbotn-konsertorkester,2013,1. divisjon,1,Kolbotn Konsertorkester,Rune André Halvorsen,Doyen,['Doyen'],,[],97.0,100.0,,,,,2025-08-25T20:48:54.099687
2013-1-divisjon-02-opus-82,2013,1. divisjon,2,Opus 82,Andreas Grønneberg,Folk Songs From The Southern Appalachians,['Folk Songs From The Southern Appalachians'],,[],96.0,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-08-25T20:48:54.099689
2013-1-divisjon-03-alvøens-musikkforening,2013,1. divisjon,3,Alvøens Musikkforening,Bengt Florvåg,Al Fresco (for Concert Band),['Al Fresco (for Concert Band)'],,[],94.0,100.0,,,,,2025-08-25T20:48:54.099691
2013-1-divisjon-04-drammen-konsertorkester,2013,1. divisjon,4,Drammen Konsertorkester,Trond Korsgård,Fontane di Roma,['Fontane di Roma'],,[],93.0,100.0,https://nmbrass.no/nmjanitsjar/static/drammenkonsertorkester.jpg,,,,2025-08-25T20:48:54.099693
2013-1-divisjon-05-stavanger-musikkorps-av-1919,2013,1. divisjon,5,Stavanger Musikkorps av 1919,Morten Wensberg,Symphony for Band,['Symphony for Band'],,[],92.0,100.0,https://nmbrass.no/nmjanitsjar/static/stavangermusikkorps1919.jpg,,,,2025-08-25T20:48:54.099695
2013-1-divisjon-06-mo-hornmusikk,2013,1. divisjon,6,Mo Hornmusikk,Reid Gilje,Suite fra King Pomade,['Suite fra King Pomade'],,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/mohornmusikk.jpg,,,,2025-08-25T20:48:54.099697
2013-1-divisjon-07-skjold-nesttun-janitsjar,2013,1. divisjon,7,Skjold Nesttun Janitsjar,Bengt Florvåg,One for Tinka,['One for Tinka'],,[],90.0,100.0,https://nmbrass.no/nmjanitsjar/static/skjoldnesttunjanitsjar.jpg,,,,2025-08-25T20:48:54.099699
2013-1-divisjon-08-strusshamn-musikkforening,2013,1. divisjon,8,Strusshamn Musikkforening,Reid Gilje,Sun Paints Rainbows on the Vast Waves,['Sun Paints Rainbows on the Vast Waves'],,[],89.0,100.0,https://nmbrass.no/nmjanitsjar/static/strusshamnmusikkforening.jpg,,,,2025-08-25T20:48:54.099701
2013-1-divisjon-09-lørenskog-musikkorps,2013,1. divisjon,9,Lørenskog Musikkorps,Tarjei W. Grimsby,The Sword and the Crown,['The Sword and the Crown'],,[],88.0,100.0,https://nmbrass.no/nmjanitsjar/static/lorenskogmusikkorps.jpg,,,,2025-08-25T20:48:54.099703
2013-1-divisjon-10-greåker-musikkorps,2013,1. divisjon,10,Greåker Musikkorps,Geir Holm,"French Impressions (1 Parade, 2 Can Can)","['French Impressions (1 Parade, 2 Can Can)']",,[],87.0,100.0,,,,,2025-08-25T20:48:54.099705
2013-1-divisjon-11-borge-musikkorps,2013,1. divisjon,11,Borge Musikkorps,Sverre Stakston Olsrud,Diamond Variations,['Diamond Variations'],,[],85.0,100.0,https://nmbrass.no/nmjanitsjar/static/borgemusikkorps.jpg,,,,2025-08-25T20:48:54.099707
2013-1-divisjon-12-sagene-janitsjarkorps,2013,1. divisjon,12,Sagene Janitsjarkorps,Tom Skjellum,"Songs of the British Isles, sats IV The Bonnie Laboring Boy","['Songs of the British Isles, sats IV The Bonnie Laboring Boy']",,[],82.0,100.0,https://nmbrass.no/nmjanitsjar/static/sagenejanitsjarkorps.jpg,,,,2025-08-25T20:48:54.099709
2013-1-divisjon-13-halsen-musikkforening,2013,1. divisjon,13,Halsen Musikkforening,Espen Andersen,A Festival Prelude,['A Festival Prelude'],,[],82.0,100.0,,,,,2025-08-25T20:48:54.099711
2013-2-divisjon-01-lisleby-musikkorps,2013,2. divisjon,1,Lisleby Musikkorps,Erlend Tunestveit,Fanfare for Spartacus,['Fanfare for Spartacus'],,[],98.0,100.0,https://nmbrass.no/nmjanitsjar/static/lislebymusikkorps.jpg,,,,2025-08-25T20:48:54.099713
2013-2-divisjon-02-vestsidens-musikkorps,2013,2. divisjon,2,Vestsidens Musikkorps,Egil Johannes Lysebo,Handel In the Strand,['Handel In the Strand'],,[],96.0,100.0,https://nmbrass.no/nmjanitsjar/static/vestsidensmusikkorps.jpg,,,,2025-08-25T20:48:54.099715
2013-2-divisjon-03-tønsberg-janitsjarkorps,2013,2. divisjon,3,Tønsberg Janitsjarkorps,Egil Johannes Lysebo,Consider the Uncommon Man,['Consider the Uncommon Man'],In Memoriam,['In Memoriam'],95.0,100.0,https://nmbrass.no/nmjanitsjar/static/tonsbergjanitsjarkorps.jpg,,,,2025-08-25T20:48:54.099718
2013-2-divisjon-04-ranheim-musikkforening,2013,2. divisjon,4,Ranheim Musikkforening,Per Ståle Knardal,To the Gadfly,['To the Gadfly'],,[],93.0,100.0,https://nmbrass.no/nmjanitsjar/static/ranheimmusikkforening.png,,,,2025-08-25T20:48:54.099720
2013-2-divisjon-05-stabekk-janitsjarorkester,2013,2. divisjon,5,Stabekk Janitsjarorkester,Jan Roger Øren,"Second Suite in F for Military Band, 1., 2. og 4. sats","['Second Suite in F for Military Band, 1., 2. og 4. sats']",,[],92.0,100.0,http://www.sjo.no/images/SJO-planetene-2015-922px.jpg,,,,2025-08-25T20:48:54.099722
2013-2-divisjon-06-sande-musikkorps,2013,2. divisjon,6,Sande Musikkorps,Thor Anders Trelease-Eriksen,New York Nitelife!,['New York Nitelife!'],,[],91.5,100.0,,,,,2025-08-25T20:48:54.099724
2013-2-divisjon-07-bispehaugen-ungdomskorps,2013,2. divisjon,7,Bispehaugen Ungdomskorps,Tomas Carstensen,Balkanya,['Balkanya'],,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-08-25T20:48:54.099726
2013-2-divisjon-08-fåberg-musikkforening,2013,2. divisjon,8,Fåberg Musikkforening,Ole Kristian Egge,Showdown for Band,['Showdown for Band'],,[],90.5,100.0,https://nmbrass.no/nmjanitsjar/static/fabergmusikkforening.jpg,,,,2025-08-25T20:48:54.099728
2013-2-divisjon-09-byneset-musikkorps,2013,2. divisjon,9,Byneset Musikkorps,Hans Andreas Kjølberg,Cry of the Celts,['Cry of the Celts'],,[],90.0,100.0,https://nmbrass.no/nmjanitsjar/static/bynesetmusikkorps.jpg,,,,2025-08-25T20:48:54.099730
2013-2-divisjon-10-sinsen-konsertorkester,2013,2. divisjon,10,Sinsen Konsertorkester,Trond Elnes,Festival,['Festival'],,[],88.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-08-25T20:48:54.099732
2013-2-divisjon-11-asker-musikkorps,2013,2. divisjon,11,Asker Musikkorps,Erling Johan Myrseth,The Trail of Dreams,['The Trail of Dreams'],,[],87.5,100.0,https://nmbrass.no/nmjanitsjar/static/askermusikkorps.jpg,,,,2025-08-25T20:48:54.099734
2013-2-divisjon-12-lungegaardens-musikkorps,2013,2. divisjon,12,Lungegaardens Musikkorps,Eirik Gjerdevik,New World Variations,['New World Variations'],,[],87.0,100.0,https://nmbrass.no/nmjanitsjar/static/lungegaardensmusikkorps.jpg,,,,2025-08-25T20:48:54.099736
