id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
1992-1-divisjon-01-dragefjellets-musikkorps-bergen,1992,1. divisjon,1,Dragefjellets Musikkorps Bergen,Lars Kristian Brynhildsen,Festival Variations; Fanfare and Choral (plikt),"['Festival Variations', 'Fanfare and Choral (plikt)']",,[],95.5,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-21T19:51:31.653971
1992-1-divisjon-02-lillestrøm-musikkorps,1992,1. divisjon,2,Lillestrøm Musikkorps,Christer Johannesen,Festival Variations; Fanfare and Choral (plikt),"['Festival Variations', 'Fanfare and Choral (plikt)']",,[],94.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-21T19:51:31.653976
1992-1-divisjon-03-sarpsborg-janitsjarkorps,1992,1. divisjon,3,Sarpsborg Janitsjarkorps,Christer Johannesen,Variations on a Hymn by Louis Bourgeois; Fanfare and Choral (plikt),"['Variations on a Hymn by Louis Bourgeois', 'Fanfare and Choral (plikt)']",,[],93.5,100.0,https://nmbrass.no/nmjanitsjar/static/sarpsborgjanitsjarkorps.jpg,,,,2025-09-21T19:51:31.653979
1992-1-divisjon-04-sagene-janitsjarkorps,1992,1. divisjon,4,Sagene Janitsjarkorps,Tom Skjellum,Fanfare and Choral (plikt),['Fanfare and Choral (plikt)'],,[],91.5,100.0,https://nmbrass.no/nmjanitsjar/static/sagenejanitsjarkorps.jpg,,,,2025-09-21T19:51:31.653982
1992-1-divisjon-05-vestre-aker-musikkorps,1992,1. divisjon,5,Vestre Aker Musikkorps,Erlend Tunestveit,Fanfare and Choral (plikt),['Fanfare and Choral (plikt)'],,[],91.0,100.0,https://nmbrass.no/nmjanitsjar/static/vestreakermusikkorps.jpg,,,,2025-09-21T19:51:31.653985
1992-1-divisjon-06-lier-ungdomskorps,1992,1. divisjon,6,Lier Ungdomskorps,Jan Roger Øren,Fanfare and Choral (plikt),['Fanfare and Choral (plikt)'],,[],90.0,100.0,,,,,2025-09-21T19:51:31.653988
1992-1-divisjon-07-sandefjord-musikkorps,1992,1. divisjon,7,Sandefjord Musikkorps,Egil Johannes Lysebo,Fanfare and Choral (plikt),['Fanfare and Choral (plikt)'],,[],89.5,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-09-21T19:51:31.653991
1992-1-divisjon-08-aalesunds-ungdomsmusikkorps,1992,1. divisjon,8,Aalesunds Ungdomsmusikkorps,Tor Haram,Fanfare and Choral (plikt),['Fanfare and Choral (plikt)'],,[],88.0,100.0,,,,,2025-09-21T19:51:31.653993
1992-1-divisjon-09-stabekk-janitsjarorkester,1992,1. divisjon,9,Stabekk Janitsjarorkester,Tom Brevik,Four Scottisch Dances; Fanfare and Choral (plikt),"['Four Scottisch Dances', 'Fanfare and Choral (plikt)']",,[],87.5,100.0,http://www.sjo.no/images/SJO-planetene-2015-922px.jpg,,,,2025-09-21T19:51:31.653996
1992-1-divisjon-10-kolbotn-konsertorkester,1992,1. divisjon,10,Kolbotn Konsertorkester,Erlend Tunestveit,Soldatumesse; Fanfare and Choral (plikt),"['Soldatumesse', 'Fanfare and Choral (plikt)']",,[],86.0,100.0,,,,,2025-09-21T19:51:31.653999
1992-1-divisjon-11-halsen-musikkforening,1992,1. divisjon,11,Halsen Musikkforening,Holger Gulbrandsen,Symphony no. 1 for Band; Fanfare and Choral (plikt),"['Symphony no. 1 for Band', 'Fanfare and Choral (plikt)']",,[],85.0,100.0,,,,,2025-09-21T19:51:31.654002
1992-1-divisjon-12-sinsen-konsertorkester,1992,1. divisjon,12,Sinsen Konsertorkester,Holger Gulbrandsen,Fanfare and Choral (plikt),['Fanfare and Choral (plikt)'],,[],84.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-09-21T19:51:31.654005
1992-1-divisjon-13-opus-82,1992,1. divisjon,13,Opus 82,Ingar Bergby,Fanfare and Choral (plikt),['Fanfare and Choral (plikt)'],,[],83.0,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-21T19:51:31.654008
1992-1-divisjon-14-sandvikens-ungdomskorps,1992,1. divisjon,14,Sandvikens Ungdomskorps,Michael Antrobus,Hjalar; Fanfare and Choral (plikt),"['Hjalar', 'Fanfare and Choral (plikt)']",Ljod,['Ljod'],81.5,100.0,,,,,2025-09-21T19:51:31.654012
1992-1-divisjon-15-lørenskog-musikkorps,1992,1. divisjon,15,Lørenskog Musikkorps,Erlend Tunestveit,Prologue and Dance; Fanfare and Choral (plikt),"['Prologue and Dance', 'Fanfare and Choral (plikt)']",,[],80.0,100.0,https://nmbrass.no/nmjanitsjar/static/lorenskogmusikkorps.jpg,,,,2025-09-21T19:51:31.654016
1992-2-divisjon-01-byneset-musikkorps,1992,2. divisjon,1,Byneset Musikkorps,Per Kvistad Uddu,Second Suite for Band; Cartoon (plikt),"['Second Suite for Band', 'Cartoon (plikt)']",,[],96.0,100.0,https://nmbrass.no/nmjanitsjar/static/bynesetmusikkorps.jpg,,,,2025-09-21T19:51:31.654019
1992-2-divisjon-02-nord-odal-hornmusikk,1992,2. divisjon,2,Nord-Odal Hornmusikk,Mardon Åvitsland,El Camino Real; Cartoon (plikt),"['El Camino Real', 'Cartoon (plikt)']",,[],94.0,100.0,,,,,2025-09-21T19:51:31.654022
1992-2-divisjon-03-kolstad-janitsjar,1992,2. divisjon,3,Kolstad Janitsjar,Torstein Siegel,Cartoon (plikt),['Cartoon (plikt)'],,[],92.0,100.0,,,,,2025-09-21T19:51:31.654025
1992-2-divisjon-04-østre-aker-musikkorps,1992,2. divisjon,4,Østre Aker Musikkorps,Geir Gaarder,Cartoon (plikt),['Cartoon (plikt)'],,[],91.0,100.0,,,,,2025-09-21T19:51:31.654028
1992-2-divisjon-05-molde-janitsjar,1992,2. divisjon,5,Molde Janitsjar,Leif Skeidsvoll,"Symphony no. 1, The Lord of the Rings, ""Gandalf""; Cartoon (plikt)","['Symphony no. 1, The Lord of the Rings, ""Gandalf""', 'Cartoon (plikt)']",,[],90.5,100.0,,,,,2025-09-21T19:51:31.654031
1992-2-divisjon-06-ranheim-musikkforening,1992,2. divisjon,6,Ranheim Musikkforening,Arild Hognes,Cartoon (plikt),['Cartoon (plikt)'],,[],90.0,100.0,https://nmbrass.no/nmjanitsjar/static/ranheimmusikkforening.png,,,,2025-09-21T19:51:31.654033
