id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
1984-1-divisjon-01-stabekk-janitsjarorkester,1984,1. divisjon,1,Stabekk Janitsjarorkester,Terje Wiik Mikkelsen,Overtyre til Barbereren i Sevilla; Epiphany (plikt),"['Overtyre til Barbereren i Sevilla', 'Epiphany (plikt)']",,[],93.3,100.0,http://www.sjo.no/images/SJO-planetene-2015-922px.jpg,,,,2025-09-23T12:51:04.405725
1984-1-divisjon-02-bispehaugen-ungdomskorps,1984,1. divisjon,2,Bispehaugen Ungdomskorps,Ukjent,Epiphany (plikt),['Epiphany (plikt)'],,[],89.7,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-09-23T12:51:04.405728
1984-1-divisjon-03-aalesunds-ungdomsmusikkorps,1984,1. divisjon,3,Aalesunds Ungdomsmusikkorps,Ukjent,Epiphany (plikt),['Epiphany (plikt)'],,[],,100.0,,,,,2025-09-23T12:51:04.405731
1984-2-divisjon-01-lier-ungdomskorps,1984,2. divisjon,1,Lier Ungdomskorps,Gunnar Lintvedt,Alpen Sketches (plikt),['Alpen Sketches (plikt)'],,[],92.7,100.0,,,,,2025-09-23T12:51:04.405733
1984-2-divisjon-03-malvik-musikkorps,1984,2. divisjon,3,Malvik Musikkorps,Kjell Jønnum,Alpen Sketches (plikt),['Alpen Sketches (plikt)'],,[],,100.0,,,,,2025-09-23T12:51:04.405736
1984-2-divisjon-05-slemmestad-ungdomskorps,1984,2. divisjon,5,Slemmestad Ungdomskorps,Arvid Evju,Raymond Overture; Alpen Sketches (plikt),"['Raymond Overture', 'Alpen Sketches (plikt)']",,[],85.5,100.0,,,,,2025-09-23T12:51:04.405738
