id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2024-elite-01-christiania-blåseensemble,2024,Elite,1,Christiania Blåseensemble,Ingar Bergby,Vårofferet,['Vårofferet'],,[],98.67,100.0,https://nmbrass.no/nmjanitsjar/static/christianiablaseensemble.jpg,,,,2025-09-21T19:51:31.993639
2024-elite-02-musikkforeningen-nidarholm,2024,Elite,2,Musikkforeningen Nidarholm,Trond Husebø,An Gé Fhián; Goldberg 2012,"['An Gé Fhián', 'Goldberg 2012']",The Wild Goose,['The Wild Goose'],97.67,100.0,https://nidarholm.no/data/gallery/gallery1/img/dsc0378-web.jpg,,,,2025-09-21T19:51:31.993647
2024-elite-03-dragefjellets-musikkorps-bergen,2024,Elite,3,Dragefjellets Musikkorps Bergen,Nils Erik Måseidvåg,"Armenian Dances, Part 1; Variasjoner over en folketone fra Valdres; Dirty Dancing","['Armenian Dances, Part 1', 'Variasjoner over en folketone fra Valdres', 'Dirty Dancing']",,[],96.33,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-21T19:51:31.993651
2024-elite-04-lillestrøm-musikkorps,2024,Elite,4,Lillestrøm Musikkorps,Trond Sverre Myhre,Danse Satanique; Fraternity,"['Danse Satanique', 'Fraternity']",,[],96.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-21T19:51:31.993654
2024-elite-05-opus-82,2024,Elite,5,Opus 82,Leif Arne T. Pedersen,"Ouverture, op. 2; Bergakungen Suite","['Ouverture, op. 2', 'Bergakungen Suite']",,[],93.33,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-21T19:51:31.993657
2024-elite-06-alvøens-musikkforening,2024,Elite,6,Alvøens Musikkforening,Bengt Florvåg,"Symphony no. 1, ‘Gilgamesh’","['Symphony no. 1, ‘Gilgamesh’']",,[],91.33,100.0,,,,,2025-09-21T19:51:31.993660
2024-elite-07-mo-hornmusikk,2024,Elite,7,Mo Hornmusikk,Reid Gilje,Vientos; Danzón no. 2,"['Vientos', 'Danzón no. 2']",,[],90.33,100.0,https://nmbrass.no/nmjanitsjar/static/mohornmusikk.jpg,,,,2025-09-21T19:51:31.993663
2024-elite-08-byneset-musikkorps,2024,Elite,8,Byneset Musikkorps,Heidi Hagerup Uddu,Peter Pan,['Peter Pan'],,[],89.33,100.0,https://nmbrass.no/nmjanitsjar/static/bynesetmusikkorps.jpg,,,,2025-09-21T19:51:31.993666
2024-elite-09-greåker-musikkorps,2024,Elite,9,Greåker Musikkorps,Geir Holm,Homenaje a Joaquìn Sorolla Cuados Sinfònicos; Godspeed,"['Homenaje a Joaquìn Sorolla Cuados Sinfònicos', 'Godspeed']",,[],88.33,100.0,,,,,2025-09-21T19:51:31.993669
2024-elite-10-strusshamn-musikkforening,2024,Elite,10,Strusshamn Musikkforening,Reid Gilje,La Lira de Pozuelo; Dirty Dancing; Enuma Elish,"['La Lira de Pozuelo', 'Dirty Dancing', 'Enuma Elish']",,[],87.33,100.0,https://nmbrass.no/nmjanitsjar/static/strusshamnmusikkforening.jpg,,,,2025-09-21T19:51:31.993672
