id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2001-elite-01-sarpsborg-janitsjarkorps,2001,Elite,1,Sarpsborg Janitsjarkorps,Geir Holm,Konzertmusik Für Blasorchester; Stabsarabesk,"['Konzertmusik Für Blasorchester', 'Stabsarabesk']",,[],96.0,100.0,https://nmbrass.no/nmjanitsjar/static/sarpsborgjanitsjarkorps.jpg,,,,2025-09-23T13:59:30.410345
2001-elite-02-lillestrøm-musikkorps,2001,Elite,2,Lillestrøm Musikkorps,Helge Haukås,Short Ride in a Fast Machine; In Memoriam; Passacaglia,"['Short Ride in a Fast Machine', 'In Memoriam', 'Passacaglia']",,[],95.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-23T13:59:30.410349
2001-elite-03-sinsen-konsertorkester,2001,Elite,3,Sinsen Konsertorkester,Leif Arne T. Pedersen,Ildfuglen; When I Close My Eyes I See Dancers,"['Ildfuglen', 'When I Close My Eyes I See Dancers']",,[],94.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-09-23T13:59:30.410351
2001-elite-04-vestre-aker-musikkorps,2001,Elite,4,Vestre Aker Musikkorps,Sverre Stakston Olsrud,Changes; Symphony in B flat for Concert Band,"['Changes', 'Symphony in B flat for Concert Band']",,[],93.0,100.0,https://nmbrass.no/nmjanitsjar/static/vestreakermusikkorps.jpg,,,,2025-09-23T13:59:30.410354
2001-elite-05-sandefjord-musikkorps,2001,Elite,5,Sandefjord Musikkorps,Odd Terje Lysebo,Sinfonia Resurrectionis,['Sinfonia Resurrectionis'],,[],92.0,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-09-23T13:59:30.410356
2001-elite-06-nittedal-og-hakadal-janitsjar,2001,Elite,6,Nittedal og Hakadal Janitsjar,Trond Elnes,Epiphanies (Fanfare and Chorales); Apocalyptic Dreams,"['Epiphanies (Fanfare and Chorales)', 'Apocalyptic Dreams']",,[],91.0,100.0,http://musikkorps.no/wp-content/uploads/2015/01/NM-Nittedal-og-Hakadal-Janitsjar.jpg,,,,2025-09-23T13:59:30.410358
2001-elite-07-dragefjellets-musikkorps-bergen,2001,Elite,7,Dragefjellets Musikkorps Bergen,Ray Farr,"Smetana Fanfare; Journey through a Japanese landscape, 4. sats Winter; Symphonic Metamorphosis of themes by Carl Maria von Weber","['Smetana Fanfare', 'Journey through a Japanese landscape, 4. sats Winter', 'Symphonic Metamorphosis of themes by Carl Maria von Weber']",,[],89.0,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-09-23T13:59:30.410360
2001-elite-08-opus-82,2001,Elite,8,Opus 82,Christer Bergby,Stabsarabesk; Symphony in B flat for Concert Band,"['Stabsarabesk', 'Symphony in B flat for Concert Band']",,[],87.0,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-23T13:59:30.410362
2001-1-divisjon-01-sandvikens-ungdomskorps,2001,1. divisjon,1,Sandvikens Ungdomskorps,Ray Farr,Fanfare and Choral; Blue Shades (plikt),"['Fanfare and Choral', 'Blue Shades (plikt)']",,[],93.5,100.0,,,,,2025-09-23T13:59:30.410365
2001-1-divisjon-02-kolbotn-konsertorkester,2001,1. divisjon,2,Kolbotn Konsertorkester,Erlend Tunestveit,Konzertmusik Für Blasorchester; Blue Shades (plikt),"['Konzertmusik Für Blasorchester', 'Blue Shades (plikt)']",,[],93.5,100.0,,,,,2025-09-23T13:59:30.410367
