id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
1990-1-divisjon-01-lillestrøm-musikkorps,1990,1. divisjon,1,Lillestrøm Musikkorps,Christer Johannesen,Fanfare and Choral; The Hounds of Spring (plikt),"['Fanfare and Choral', 'The Hounds of Spring (plikt)']",,[],95.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-21T19:51:31.630356
1990-1-divisjon-02-sagene-janitsjarkorps,1990,1. divisjon,2,Sagene Janitsjarkorps,Tom Skjellum,En Natt på Bloksberg,['En Natt på Bloksberg'],,[],94.5,100.0,https://nmbrass.no/nmjanitsjar/static/sagenejanitsjarkorps.jpg,,,,2025-09-21T19:51:31.630361
1990-1-divisjon-03-kolbotn-konsertorkester,1990,1. divisjon,3,Kolbotn Konsertorkester,Erlend Tunestveit,Illyrian Dances (plikt),['Illyrian Dances (plikt)'],,[],93.0,100.0,,,,,2025-09-21T19:51:31.630364
1990-1-divisjon-04-halsen-musikkforening,1990,1. divisjon,4,Halsen Musikkforening,Sigmund Ofstad,La Forza del Destino; Fiesta Del Pacifico (plikt),"['La Forza del Destino', 'Fiesta Del Pacifico (plikt)']",,[],92.0,100.0,,,,,2025-09-21T19:51:31.630367
1990-1-divisjon-05-lier-ungdomskorps,1990,1. divisjon,5,Lier Ungdomskorps,Oddvar Mikalsen,,[],,[],91.0,100.0,,,,,2025-09-21T19:51:31.630370
1990-1-divisjon-06-lørenskog-musikkorps,1990,1. divisjon,6,Lørenskog Musikkorps,Pål Gløtta,March Slave; Illyrian Dances (plikt),"['March Slave', 'Illyrian Dances (plikt)']",,[],90.5,100.0,https://nmbrass.no/nmjanitsjar/static/lorenskogmusikkorps.jpg,,,,2025-09-21T19:51:31.630373
1990-1-divisjon-07-hamar-musikkorps,1990,1. divisjon,7,Hamar Musikkorps,Trond Brenne,"The Planets, 4. sats Jupiter The Bringer of Jollity; The Hounds of Spring (plikt)","['The Planets, 4. sats Jupiter The Bringer of Jollity', 'The Hounds of Spring (plikt)']",,[],90.0,100.0,,,,,2025-09-21T19:51:31.630377
1990-1-divisjon-08-skjetten-ungdomskorps,1990,1. divisjon,8,Skjetten Ungdomskorps,Svein Greni,,[],,[],88.0,100.0,,,,,2025-09-21T19:51:31.630380
1990-1-divisjon-09-strusshamn-musikkforening,1990,1. divisjon,9,Strusshamn Musikkforening,Svein Magne Olsen,,[],,[],85.0,100.0,https://nmbrass.no/nmjanitsjar/static/strusshamnmusikkforening.jpg,,,,2025-09-21T19:51:31.630382
1990-1-divisjon-10-opus-82,1990,1. divisjon,10,Opus 82,Terje Wiik Mikkelsen,,[],,[],83.5,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-09-21T19:51:31.630385
