id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
1986-1-divisjon-01-os-musikkforening,1986,1. divisjon,1,Os Musikkforening,Karl Ole Midtbø,"Fanfare, Ballad and Jubilee; Delta Dances for Wind Band (plikt)","['Fanfare, Ballad and Jubilee', 'Delta Dances for Wind Band (plikt)']",,[],92.7,100.0,https://nmbrass.no/nmjanitsjar/static/osmusikkforening.jpg,,,,2025-09-23T13:20:59.757878
1986-1-divisjon-02-sagene-janitsjarkorps,1986,1. divisjon,2,Sagene Janitsjarkorps,Tom Skjellum,Festival Variations; Delta Dances for Wind Band (plikt),"['Festival Variations', 'Delta Dances for Wind Band (plikt)']",,[],92.2,100.0,https://nmbrass.no/nmjanitsjar/static/sagenejanitsjarkorps.jpg,,,,2025-09-23T13:20:59.757881
1986-1-divisjon-02-lillestrøm-musikkorps,1986,1. divisjon,2,Lillestrøm Musikkorps,Christer Johannesen,Festive Overture; Delta Dances for Wind Band (plikt),"['Festive Overture', 'Delta Dances for Wind Band (plikt)']",,[],92.2,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-09-23T13:20:59.757884
1986-1-divisjon-04-lier-ungdomskorps,1986,1. divisjon,4,Lier Ungdomskorps,Gunnar Lintvedt,Variants on a Mediaeval Tune; Delta Dances for Wind Band (plikt),"['Variants on a Mediaeval Tune', 'Delta Dances for Wind Band (plikt)']",,[],91.7,100.0,,,,,2025-09-23T13:20:59.757886
1986-1-divisjon-05-stabekk-janitsjarorkester,1986,1. divisjon,5,Stabekk Janitsjarorkester,Terje Wiik Mikkelsen,Capriccio Espagnol; Delta Dances for Wind Band (plikt),"['Capriccio Espagnol', 'Delta Dances for Wind Band (plikt)']",,[],89.7,100.0,http://www.sjo.no/images/SJO-planetene-2015-922px.jpg,,,,2025-09-23T13:20:59.757888
1986-1-divisjon-06-bispehaugen-ungdomskorps,1986,1. divisjon,6,Bispehaugen Ungdomskorps,Knut Lauritzen,"The Planets, 4. sats Jupiter The Bringer of Jollity; Delta Dances for Wind Band (plikt)","['The Planets, 4. sats Jupiter The Bringer of Jollity', 'Delta Dances for Wind Band (plikt)']",,[],89.5,100.0,https://nmbrass.no/nmjanitsjar/static/bispehaugenungdomskorps.jpg,,,,2025-09-23T13:20:59.757891
1986-1-divisjon-07-sinsen-konsertorkester,1986,1. divisjon,7,Sinsen Konsertorkester,Camilla Kolchinsky,Polovetsian Dances from Prince Igor; Delta Dances for Wind Band (plikt),"['Polovetsian Dances from Prince Igor', 'Delta Dances for Wind Band (plikt)']",,[],87.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-09-23T13:20:59.757893
1986-1-divisjon-08-musikklaget-brage,1986,1. divisjon,8,Musikklaget Brage,Anne Sæther,The Thievish Magpie; Delta Dances for Wind Band (plikt),"['The Thievish Magpie', 'Delta Dances for Wind Band (plikt)']",,[],86.2,100.0,,,,,2025-09-23T13:20:59.757896
1986-2-divisjon-01-tromsø-orkesterforenings-janitsjarkorps,1986,2. divisjon,1,Tromsø Orkesterforenings Janitsjarkorps,Morten Brenne,A Festive Overture (for Concert Band); Ballad for band (plikt),"['A Festive Overture (for Concert Band)', 'Ballad for band (plikt)']",,[],91.3,100.0,"https://static.wixstatic.com/media/dd5bbc_b0c682bb35064071b71c0549c444563e.jpg/v1/fill/w_859,h_602,al_c,q_85,usm_0.66_1.00_0.01/dd5bbc_b0c682bb35064071b71c0549c444563e.jpg",,,,2025-09-23T13:20:59.757898
1986-2-divisjon-02-årstad-musikkorps,1986,2. divisjon,2,Årstad Musikkorps,Ukjent,First Suite in Eb for Military Band; Ballad for band (plikt),"['First Suite in Eb for Military Band', 'Ballad for band (plikt)']",,[],88.5,100.0,,,,,2025-09-23T13:20:59.757901
