id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2015-elite-01-christiania-blåseensemble,2015,Elite,1,Christiania Blåseensemble,Trond Husebø,,[],,[],97.33,100.0,https://nmbrass.no/nmjanitsjar/static/christianiablaseensemble.jpg,,,,2025-08-25T20:48:54.116932
2015-elite-02-musikkforeningen-nidarholm,2015,Elite,2,Musikkforeningen Nidarholm,John-Philip Hannevik,,[],,[],96.33,100.0,https://nidarholm.no/data/gallery/gallery1/img/dsc0378-web.jpg,,,,2025-08-25T20:48:54.116935
2015-elite-03-sandvikens-ungdomskorps,2015,Elite,3,Sandvikens Ungdomskorps,Ray Farr,,[],,[],94.0,100.0,,,,,2025-08-25T20:48:54.116937
2015-elite-04-lillestrøm-musikkorps,2015,Elite,4,Lillestrøm Musikkorps,Trond Sverre Myhre,,[],,[],93.0,100.0,https://www.lillestrom-musikkorps.no/data/files/bilde17-brussel1.jpg,,,,2025-08-25T20:48:54.116939
2015-elite-05-dragefjellets-musikkorps-bergen,2015,Elite,5,Dragefjellets Musikkorps Bergen,Gary Peterson,,[],,[],92.33,100.0,http://dragene.no/wp-content/uploads/2016/03/12821425_10154123000919101_6934214023861599412_n.jpg,,,,2025-08-25T20:48:54.116941
2015-elite-06-greåker-musikkorps,2015,Elite,6,Greåker Musikkorps,Geir Holm,,[],,[],90.33,100.0,,,,,2025-08-25T20:48:54.116943
2015-elite-07-kolbu-janitsjarkorps,2015,Elite,7,Kolbu Janitsjarkorps,Christian Skarbø Tenfjord,,[],,[],89.67,100.0,,,,,2025-08-25T20:48:54.116945
2015-elite-08-vestre-aker-musikkorps,2015,Elite,8,Vestre Aker Musikkorps,Tomas Carstensen,,[],,[],88.33,100.0,https://nmbrass.no/nmjanitsjar/static/vestreakermusikkorps.jpg,,,,2025-08-25T20:48:54.116946
2015-elite-09-sarpsborg-janitsjarkorps,2015,Elite,9,Sarpsborg Janitsjarkorps,Rune André Halvorsen,,[],,[],86.33,100.0,https://nmbrass.no/nmjanitsjar/static/sarpsborgjanitsjarkorps.jpg,,,,2025-08-25T20:48:54.116948
2015-elite-10-nittedal-og-hakadal-janitsjar,2015,Elite,10,Nittedal og Hakadal Janitsjar,Tanja Carita Ikonen,,[],,[],84.0,100.0,http://musikkorps.no/wp-content/uploads/2015/01/NM-Nittedal-og-Hakadal-Janitsjar.jpg,,,,2025-08-25T20:48:54.116950
2015-1-divisjon-01-opus-82,2015,1. divisjon,1,Opus 82,Andreas Grønneberg,,[],,[],95.0,100.0,"https://static.wixstatic.com/media/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg/v1/fill/w_472,h_330,al_c,q_80,usm_0.66_1.00_0.01/8835a5_5cd78cff169f454fb6d0a54169c9106d.jpg",,,,2025-08-25T20:48:54.116952
2015-1-divisjon-02-skjold-nesttun-janitsjar,2015,1. divisjon,2,Skjold Nesttun Janitsjar,Bengt Florvåg,,[],,[],94.5,100.0,https://nmbrass.no/nmjanitsjar/static/skjoldnesttunjanitsjar.jpg,,,,2025-08-25T20:48:54.116954
2015-1-divisjon-03-mo-hornmusikk,2015,1. divisjon,3,Mo Hornmusikk,Reid Gilje,,[],,[],93.0,100.0,https://nmbrass.no/nmjanitsjar/static/mohornmusikk.jpg,,,,2025-08-25T20:48:54.116956
2015-1-divisjon-04-byneset-musikkorps,2015,1. divisjon,4,Byneset Musikkorps,Hans Andreas Kjølberg,,[],,[],92.0,100.0,https://nmbrass.no/nmjanitsjar/static/bynesetmusikkorps.jpg,,,,2025-08-25T20:48:54.116957
2015-1-divisjon-05-kolbotn-konsertorkester,2015,1. divisjon,5,Kolbotn Konsertorkester,Maria Nygård Molund,,[],,[],91.0,100.0,,,,,2025-08-25T20:48:54.116959
2015-1-divisjon-06-drammen-konsertorkester,2015,1. divisjon,6,Drammen Konsertorkester,Trond Korsgård,,[],,[],90.0,100.0,https://nmbrass.no/nmjanitsjar/static/drammenkonsertorkester.jpg,,,,2025-08-25T20:48:54.116961
2015-1-divisjon-07-stavanger-musikkorps-av-1919,2015,1. divisjon,7,Stavanger Musikkorps av 1919,Morten Wensberg,,[],,[],89.0,100.0,https://nmbrass.no/nmjanitsjar/static/stavangermusikkorps1919.jpg,,,,2025-08-25T20:48:54.116963
2015-1-divisjon-08-lisleby-musikkorps,2015,1. divisjon,8,Lisleby Musikkorps,Erlend Tunestveit,,[],,[],88.0,100.0,https://nmbrass.no/nmjanitsjar/static/lislebymusikkorps.jpg,,,,2025-08-25T20:48:54.116964
2015-1-divisjon-09-strusshamn-musikkforening,2015,1. divisjon,9,Strusshamn Musikkforening,Reid Gilje,,[],,[],87.0,100.0,https://nmbrass.no/nmjanitsjar/static/strusshamnmusikkforening.jpg,,,,2025-08-25T20:48:54.116966
2015-1-divisjon-10-lørenskog-musikkorps,2015,1. divisjon,10,Lørenskog Musikkorps,Tarjei W. Grimsby,,[],,[],86.0,100.0,https://nmbrass.no/nmjanitsjar/static/lorenskogmusikkorps.jpg,,,,2025-08-25T20:48:54.116968
2015-1-divisjon-11-sinsen-konsertorkester,2015,1. divisjon,11,Sinsen Konsertorkester,Trond Elnes,,[],,[],85.0,100.0,https://nmbrass.no/nmjanitsjar/static/sinsenmusikkorps.jpg,,,,2025-08-25T20:48:54.116970
2015-1-divisjon-12-alvøens-musikkforening,2015,1. divisjon,12,Alvøens Musikkforening,Bengt Florvåg,,[],,[],84.0,100.0,,,,,2025-08-25T20:48:54.116972
2015-1-divisjon-13-borge-musikkorps,2015,1. divisjon,13,Borge Musikkorps,Sverre Stakston Olsrud,,[],,[],82.0,100.0,https://nmbrass.no/nmjanitsjar/static/borgemusikkorps.jpg,,,,2025-08-25T20:48:54.116973
2015-2-divisjon-01-sandefjord-musikkorps,2015,2. divisjon,1,Sandefjord Musikkorps,Thomas Rimul,,[],,[],96.0,100.0,http://www.sandefjord-musikkorps.no/assets/images/vi-er-smk.jpg,,,,2025-08-25T20:48:54.116975
