title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
The Secret of The White Rose,Otto M. Schwarz,1,0,0.0,78.0,,,,
Suite of Old American Dances,"Robert Russell Bennett, arr. James Curnow",3,0,33.33,88.0,,,,
Sedona,Steven Reineke,1,0,0.0,93.0,,,,
"Orient et Occident, Op. 25",Camille Saint-Saëns,1,0,0.0,92.0,,,,
Pilatus: Mountain of Dragons,Steven Reineke,15,0,0.0,88.6,,,,
At the Break of Gondwana,Benjamin Yeo,1,0,0.0,89.0,,,,
Blue Ridge Saga,James Swearingen,1,0,0.0,87.0,,,,
A Ship in the Mist,Rossano Galante,1,0,0.0,86.0,,,,
Vårofferet,Igor Stravinskij,1,1,100.0,98.67,,,,
Goldberg 2012,Svein Henrik Giske,3,0,0.0,96.35,,,,
Dirty Dancing,Torstein Aagaard-Nilsen,2,0,0.0,92.41,,,,
Peter Pan,Ferrer Ferran,3,0,0.0,91.61,,,,
Godspeed,Stephen Melillo,7,1,14.29,90.83,,,,
Enuma Elish,José Suñer-Oriola,1,0,0.0,87.33,,,,
"Symphonic Metamorphosis of themes by Carl Maria von Weber, 4. sats March","Paul Hindemith, arr. Keith Wilson",1,0,0.0,92.0,,,,
"Armenian Dances, Part 1",Alfred Reed,23,4,17.39,89.54,,,,
Norsk Rapsodi nr. 1,"Johan Halvorsen, arr. Stig Nordhagen",4,0,0.0,89.25,,,,
Aurora Awakes,John Mackey,4,0,0.0,87.71,,,,
The Frozen Cathedral,John Mackey,3,0,33.33,93.0,,,,
Symphony no. 1 - Asgard,Teo Aparicio-Barberan,2,0,0.0,89.5,,,,
Symphony for Wind Orchestra - Montage,Peter Graham,5,0,0.0,86.2,,,,
Gloriosa,Yasuhide Ito,1,0,0.0,86.0,,,,
Equus,Eric Whitacre,5,1,20.0,89.9,,,,
"Divertimento for Band, 4., 5. og 6. sats",Vincent Persichetti,1,0,0.0,85.0,,,,
Milestones,Tom Gontier,1,0,0.0,94.0,,,,
"Jungla, Poema ambientado en la Selva Africana",Ferrer Ferran,5,0,0.0,89.7,,,,
Seinsumarsdraum,Kolbein Eide Bukve,1,0,0.0,91.0,,,,
Stratoscape,Gauthier Dupertuis,1,0,0.0,90.5,,,,
Nord,Torstein Aagaard-Nilsen,1,0,0.0,90.0,,,,
Battle of Hearts,Bert Appermont,2,0,0.0,87.5,,,,
Masquerad,Aram Khachaturian,1,0,0.0,87.0,,,,
Apocalyptic Dreams,David R. Gillingham,2,0,0.0,88.5,,,,
Tam o'Shanter,"Malcolm Arnold, arr. John P. Paynter",6,0,0.0,90.0,,,,
Arabesque,Samuel R. Hazo,10,1,10.0,90.05,,,,
Las Aventuras del Principito,Ferrer Ferran,7,1,14.29,89.21,,,,
Pompeii: The Ruins Know the Long and Magnificent History,Satoshi Yagisawa,2,1,50.0,95.0,,,,
Unbroken,Randall D Standridge,1,0,0.0,94.0,,,,
Incantation and Dance,John Barnes Chance,24,3,12.5,88.17,,,,
Give us this Day,David Maslanka,10,1,10.0,90.95,,,,
Momentum Sequences,Fredrick Schjelderup,1,0,0.0,89.0,,,,
Headland Fantasy,Ingebjørg Vilhelmsen,1,0,0.0,88.5,,,,
Saga Maligna,Bert Appermont,6,0,0.0,86.92,,,,
Symphonic Suite,Clifton Williams,2,0,0.0,87.0,,,,
In Nomine,Otto M. Schwarz,1,0,0.0,86.0,,,,
Machu Picchu - City in the sky - the mystery of the hidden sun Temple,Satoshi Yagisawa,16,2,12.5,91.03,,,,
Lux Perpetua,Frank Ticheli,2,1,50.0,93.25,,,,
Overture Con Spirito,Thomas Doss,1,0,0.0,91.0,,,,
High Adventure,Randol Alan Bass,1,0,0.0,90.0,,,,
"Cavetowns ""Cappadocia""",Satoshi Yagisawa,2,0,0.0,89.0,,,,
Around the World in 80 Days,Otto M. Schwarz,4,0,0.0,88.12,,,,
Time for Celebration,Fredrick Schjelderup,2,0,0.0,88.25,,,,
"Sinfonietta no. 2, 2. og 3. sats",Philip Sparke,1,0,0.0,87.0,,,,
Sketches on a Tudor Psalm,Fisher Tull,3,0,0.0,89.33,,,,
Variants on a Mediaeval Tune,Norman Dello Joio,1,0,0.0,82.0,,,,
LOL (Laugh Out Loud),Robert Buckley,1,1,100.0,96.5,,,,
Witch Dance,Thomas Doss,1,0,0.0,96.0,,,,
"Symphonie no. 1 - The Borgias, 1. Alexander VI",Otto M. Schwarz,1,0,0.0,90.0,,,,
Huckleberry Finn Suite - Four Scenes from Mark Twain,Franco Cesarini,3,0,0.0,87.67,,,,
Variations on Laudate Dominum,Sir Charles Hubert Hastings Parry,1,0,0.0,87.5,,,,
Astronauten-Marsch,Josef Ullrich,1,0,0.0,87.0,,,,
A Hero's Tale,Bert Appermont,1,0,0.0,86.0,,,,
Four Norfolk Dances,Philip Sparke,6,0,0.0,88.17,,,,
Celtic Child,Bert Appermont,1,0,0.0,85.0,,,,
Blue Shades,Frank Ticheli,23,3,13.04,90.02,,,,
The Big Picture,Christian Aftreth Eriksen,1,0,0.0,84.0,,,,
Galea et Bellum,Jan de Haan,1,0,0.0,83.0,,,,
Slava!,Leonard Bernstein,2,1,50.0,90.5,,,,
Prevision,Jan de Haan,2,0,0.0,89.5,,,,
Music for a Solemnity,Jan de Haan,3,0,0.0,90.0,,,,
New York: 1927,Warren Barker,1,0,0.0,89.5,,,,
"Symphony no. 1, The Lord of the Rings, ""Gandalf""",Johan de Meij,5,0,0.0,86.5,,,,
"Symphony no. 1, The Lord of the Rings, ""Hobbits""",Johan de Meij,7,0,0.0,85.71,,,,
Freedom Defended,Rossano Galante,1,0,0.0,86.5,,,,
Underlige Aftenlufte,"Carl Nielsen, arr. Stig Gustafson",3,0,33.33,91.83,,,,
"Hoch Heidecksburg, op. 10",Rudolf Herzel,1,0,0.0,84.5,,,,
The Air Race,Otto M. Schwarz,1,0,0.0,84.0,,,,
Yosemite Autumn,Mark Camphouse,2,0,0.0,87.0,,,,
Variations for Band,John Brakstad,24,0,4.17,86.05,,,,
Christian Daae på setra,Daniel Haugen,1,1,100.0,93.0,,,,
Corpo Hennum festivo,Thomas Rimul,1,0,0.0,90.5,,,,
Concerto d’Amore,Jacob de Haan,3,0,0.0,87.0,,,,
Mount Everest,Rossano Galante,1,0,0.0,87.0,,,,
The Flood,Filip Ceunen,2,0,0.0,87.5,,,,
The Last Letter from Murdoch,Masanori Taruya,1,0,0.0,85.0,,,,
Another Way Home,Per Olof Ukkonen,1,0,0.0,84.0,,,,
Novena,James Swearingen,1,0,0.0,83.0,,,,
Homenaje a Joaquìn Sorolla Cuados Sinfònicos,"Bernardo Adam Ferrero, arr. Anders Högstedt",9,2,33.33,92.39,,,,
Diaghilev,Kenneth Hesketh,1,0,0.0,95.5,,,,
"Symphonic Dances from ""West Side Story""","Leonard Bernstein, arr. Paul Lavender",1,0,0.0,95.33,,,,
Myth Forest - Hestefallstjønn,Stig Nordhagen,1,0,0.0,94.66,,,,
Symphony no. 4,David Maslanka,6,0,16.67,91.81,,,,
Ildfuglen,"Igor Stravinsky, arr. Randy Earles/Frederick Fennell",3,0,33.33,94.11,,,,
Miliarium,Ferrer Ferran,1,0,0.0,92.33,,,,
Old Licks Bluesed Up,Torstein Aagaard-Nilsen,1,0,0.0,90.8,,,,
Artic Landscape,Torstein Aagaard-Nilsen,1,0,0.0,87.0,,,,
Athena - Concert no. 5,Ferrer Ferran,1,0,0.0,95.0,,,,
An Gé Fhián - The Wild Goose,Ryan George,1,0,0.0,93.0,,,,
Keystone,Thierry Deleruyelle,1,0,0.0,90.0,,,,
Belkis: Regina di Saba,"Ottorino Respighi, arr. Yoshihiro Kimura",2,0,0.0,90.0,,,,
Neuro,Simon Dobson,1,0,0.0,87.0,,,,
"Symphony no. 5, Finale","Dmitri Shostakovich, arr. Charles B. Righter",1,0,0.0,86.0,,,,
"Entornos, sats III, Fanfarria y Coral",Amando Blanquer Ponsoda,1,0,0.0,84.0,,,,
Wild Nights!,Frank Ticheli,3,0,0.0,86.17,,,,
Ride,Samuel R. Hazo,3,0,33.33,88.67,,,,
Villfar,Kolbein Eide Bukve,1,0,0.0,91.5,,,,
Audivi Media Nocte,Oliver Waespi,2,0,0.0,90.34,,,,
Spiritual Planet,Wataru Hokoyama,3,0,0.0,87.17,,,,
Fragile Oasis,Peter Meechan,1,0,0.0,90.0,,,,
Saga Candida - 7 impressions of a Witch Hunt,Bert Appermont,11,0,0.0,88.55,,,,
Stabsarabesk,Olav Anton Thommessen,13,4,30.77,91.79,,,,
Fleodrodum,Eric Swiggers,4,0,0.0,86.5,,,,
Symphony no. 3 “Slavyanskaya”,"Boris Kozhevnikov, arr. John R. Bourgeois",1,0,0.0,86.0,,,,
High Wire,John Mackey,1,0,0.0,84.5,,,,
Perseus,Satoshi Yagisawa,1,0,0.0,83.5,,,,
Wer ist Elise,Johannes Stert,1,0,0.0,83.0,,,,
Made in Bergen (Hommage à Harald Sæverud),Svein Henrik Giske,3,0,0.0,91.33,,,,
Microtopia,Bert Appermont,1,0,0.0,92.0,,,,
Gichigamiin - The Five Freshwater Seas,Satoshi Yagisawa,1,0,0.0,88.0,,,,
"Cajun Folk Songs II, No. 2 Country Dance",Frank Ticheli,1,0,0.0,84.5,,,,
Inspiration,Jan de Haan,5,0,0.0,85.0,,,,
Music for a Festival,Philip Sparke,23,4,17.39,87.85,,,,
"War and Peace, 2. sats",Jerker Johansson,1,0,0.0,82.0,,,,
The Story of Anne Frank,Otto M. Schwarz,2,0,0.0,88.75,,,,
Bandancing,Jack Stamp,2,0,0.0,91.5,,,,
To a New Dawn,Philip Sparke,3,0,0.0,84.17,,,,
