id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2025-elite-01-manger-musikklag,2025,Elite,1,Manger Musikklag,Allan Withington,A Gabrieli Fantasy,['A Gabrieli Fantasy'],Bert Appermont,['Bert Appermont'],98.0,100.0,,,,,2025-09-29T23:32:39.805610
2025-elite-02-eikanger-bjørsvik-musikklag,2025,Elite,2,Eikanger-Bjørsvik Musikklag,Florent Didier,"*****, Concerto n°10 for Brass Band, Percussion & Onde Martenot","['*****, Concerto n°10 for Brass Band, Percussion & Onde Martenot']",Ludovic Neurohr,['Ludovic Neurohr'],97.5,100.0,,,,,2025-09-29T23:32:39.805614
2025-elite-03-stavanger-brass-band,2025,Elite,3,Stavanger Brass Band,Ivan Meylemans,So Spoke Albion,['So Spoke Albion'],Gavin Higgins,['Gavin Higgins'],95.0,100.0,,,,,2025-09-29T23:32:39.805617
2025-elite-04-bjørsvik-brass,2025,Elite,4,Bjørsvik Brass,Andreas Hanson,Partita,['Partita'],Philip Sparke,['Philip Sparke'],92.5,100.0,,,,,2025-09-29T23:32:39.805620
2025-elite-05-oslofjord-brass,2025,Elite,5,Oslofjord Brass,Peter Sebastian Szilvay,Journey of the Lone Wolf,['Journey of the Lone Wolf'],Simon Dobson,['Simon Dobson'],92.0,100.0,,,,,2025-09-29T23:32:39.805623
2025-elite-06-kleppe-musikklag,2025,Elite,6,Kleppe Musikklag,Tormod Flaten,A Brussels Requiem,['A Brussels Requiem'],Bert Appermont,['Bert Appermont'],91.0,100.0,,,,,2025-09-29T23:32:39.805625
2025-elite-07-brøttum-brass,2025,Elite,7,Brøttum Brass,David Morton,Music of the Spheres,['Music of the Spheres'],Philip Sparke,['Philip Sparke'],89.75,100.0,,,,,2025-09-29T23:32:39.805628
2025-elite-08-tertnes-brass,2025,Elite,8,Tertnes Brass,Paul Holland,Perihelion: Closer to the Sun,['Perihelion: Closer to the Sun'],Philip Sparke,['Philip Sparke'],89.75,100.0,,,,,2025-09-29T23:32:39.805630
2025-elite-09-oslo-brass-band,2025,Elite,9,Oslo Brass Band,Sebastian Haukås,Sketches from Nowhere,['Sketches from Nowhere'],Thomas Doss,['Thomas Doss'],89.0,100.0,,,,,2025-09-29T23:32:39.805632
2025-elite-10-ila-brass-band,2025,Elite,10,Ila Brass Band,Stig Maersk,Waiting for a Pain Hit!??!!?,['Waiting for a Pain Hit!??!!?'],Paul McGhee,['Paul McGhee'],88.0,100.0,,,,,2025-09-29T23:32:39.805635
2025-1-divisjon-01-jaren-hornmusikkforening,2025,1. divisjon,1,Jaren Hornmusikkforening,Erik Janssen,Audivi Media Nocte,['Audivi Media Nocte'],Oliver Waespi,['Oliver Waespi'],98.0,100.0,,,,,2025-09-29T23:32:39.805638
2025-1-divisjon-02-musikkorpset-gjallarhorn,2025,1. divisjon,2,Musikkorpset Gjallarhorn,Dr. Glenn Van Looy,Afterlife,['Afterlife'],Stijn Aertgeerts,['Stijn Aertgeerts'],96.0,100.0,,,,,2025-09-29T23:32:39.805640
2025-1-divisjon-03-rong-brass,2025,1. divisjon,3,Rong Brass,Ian Porthouse,Antiphonies,['Antiphonies'],Oliver Waespi,['Oliver Waespi'],94.0,100.0,,,,,2025-09-29T23:32:39.805642
2025-1-divisjon-04-molde-brass-band,2025,1. divisjon,4,Molde Brass Band,Frode Amundsen,Hypercube,['Hypercube'],Oliver Waespi,['Oliver Waespi'],93.0,100.0,,,,,2025-09-29T23:32:39.805645
2025-1-divisjon-05-askøy-brass-band,2025,1. divisjon,5,Askøy Brass Band,Svein Henrik Giske,Fenring Dances,['Fenring Dances'],Svein Henrik Giske,['Svein Henrik Giske'],92.0,100.0,,,,,2025-09-29T23:32:39.805647
2025-1-divisjon-06-krohnengen-brass-band,2025,1. divisjon,6,Krohnengen Brass Band,Magnus Brandseth,Myth Forest - Hestefallstjønn,['Myth Forest - Hestefallstjønn'],Stig Nordhagen,['Stig Nordhagen'],91.0,100.0,,,,,2025-09-29T23:32:39.805650
2025-1-divisjon-07-tomra-brass-band,2025,1. divisjon,7,Tomra Brass Band,Frans Violet,Bipolar(ity),['Bipolar(ity)'],Stijn Aertgeerts,['Stijn Aertgeerts'],89.0,100.0,,,,,2025-09-29T23:32:39.805652
2025-1-divisjon-08-sandefjord-brass-symposium,2025,1. divisjon,8,Sandefjord Brass Symposium,Trond Husebø,As If A Voice Were In Them...,['As If A Voice Were In Them...'],Oliver Waespi,['Oliver Waespi'],88.0,100.0,,,,,2025-09-29T23:32:39.805654
