id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2007-elite-01-stavanger-brass-band,2007,Elite,1.0,Stavanger Brass Band,Allan Withington,Vienna Nights,['Vienna Nights'],Philip Wilby,['Philip Wilby'],96.0,100.0,,,,,2025-09-29T23:32:39.735778
2007-elite-02-krohnengen-brass-band,2007,Elite,2.0,Krohnengen Brass Band,Selmer Simonsen,Ginnungagap... Seeming emptiness,['Ginnungagap... Seeming emptiness'],Johan Evenepoel,['Johan Evenepoel'],93.0,100.0,,,,,2025-09-29T23:32:39.735782
2007-elite-03-eikanger-bjørsvik-musikklag,2007,Elite,3.0,Eikanger-Bjørsvik Musikklag,Dr. Nicholas Childs,Eden,['Eden'],John Pickard,['John Pickard'],92.0,100.0,,,,,2025-09-29T23:32:39.735785
2007-elite-04-oslofjord-brass,2007,Elite,4.0,Oslofjord Brass,Michael Antrobus,Aubade (Dawn Songs of the Fabulous Birds),['Aubade (Dawn Songs of the Fabulous Birds)'],Torstein Aagaard-Nilsen,['Torstein Aagaard-Nilsen'],90.5,100.0,,,,,2025-09-29T23:32:39.735787
2007-elite-05-manger-musikklag,2007,Elite,5.0,Manger Musikklag,Robert Childs,Seid,['Seid'],Torstein Aagaard-Nilsen,['Torstein Aagaard-Nilsen'],90.0,100.0,,,,,2025-09-29T23:32:39.735790
2007-elite-06-molde-brass-band,2007,Elite,6.0,Molde Brass Band,Alan Morrison,Harrison's Dream,"[""Harrison's Dream""]",Peter Graham,['Peter Graham'],88.0,100.0,,,,,2025-09-29T23:32:39.735792
2007-elite-07-tertnes-brass,2007,Elite,7.0,Tertnes Brass,Bjørn Breistein,Ascending - Learning how to fly,['Ascending - Learning how to fly'],Stig Nordhagen,['Stig Nordhagen'],87.5,100.0,,,,,2025-09-29T23:32:39.735794
2007-elite-08-ila-brass-band,2007,Elite,8.0,Ila Brass Band,Trond Korsgård,Chain,['Chain'],Piet Swerts,['Piet Swerts'],86.5,100.0,,,,,2025-09-29T23:32:39.735797
2007-elite-09-sandefjord-brass-symposium,2007,Elite,9.0,Sandefjord Brass Symposium,Garry Cutt,Dances and Alleluias,['Dances and Alleluias'],Philip Sparke,['Philip Sparke'],86.0,100.0,,,,,2025-09-29T23:32:39.735799
2007-elite-xx-tomra-brass-band,2007,Elite,,Tomra Brass Band,Frans Violet,Journey to the Centre of the Earth,['Journey to the Centre of the Earth'],Peter Graham,['Peter Graham'],92.0,100.0,,,,,2025-09-29T23:32:39.735801
