id,year,division,rank,orchestra,conductor,pieces,pieces_list,composers,composers_list,points,max_points,image_url,orchestra_url,conductor_url,piece_urls,scraped_at
2019-elite-01-eikanger-bjørsvik-musikklag,2019,Elite,1,Eikanger-Bjørsvik Musikklag,Reid Gilje,Perihelion: Closer to the Sun,['Perihelion: Closer to the Sun'],Philip Sparke,['Philip Sparke'],96.25,100.0,,,,,2025-09-29T23:32:39.787515
2019-elite-02-stavanger-brass-band,2019,Elite,2,Stavanger Brass Band,Allan Withington,Midnight's Butterflies,"[""Midnight's Butterflies""]",Maurice Donnet-Monay,['Maurice Donnet-Monay'],95.5,100.0,,,,,2025-09-29T23:32:39.787518
2019-elite-03-manger-musikklag,2019,Elite,3,Manger Musikklag,Peter Sebastian Szilvay,"*****, Concerto n°10 for Brass Band, Percussion & Onde Martenot","['*****, Concerto n°10 for Brass Band, Percussion & Onde Martenot']",Ludovic Neurohr,['Ludovic Neurohr'],94.5,100.0,,,,,2025-09-29T23:32:39.787521
2019-elite-04-bjørsvik-brass,2019,Elite,4,Bjørsvik Brass,Andreas Hanson,Journey into Freedom,['Journey into Freedom'],Eric Ball,['Eric Ball'],92.0,100.0,,,,,2025-09-29T23:32:39.787523
2019-elite-05-jaren-hornmusikkforening,2019,Elite,5,Jaren Hornmusikkforening,Florent Didier,Fraternity,['Fraternity'],Thierry Deleruyelle,['Thierry Deleruyelle'],91.75,100.0,,,,,2025-09-29T23:32:39.787525
2019-elite-06-tertnes-brass,2019,Elite,6,Tertnes Brass,Paul Holland,A Tale As Yet Untold,['A Tale As Yet Untold'],Philip Sparke,['Philip Sparke'],91.5,100.0,,,,,2025-09-29T23:32:39.787528
2019-elite-07-oslo-brass-band,2019,Elite,7,Oslo Brass Band,Ivan Meylemans,The Night to Sing,['The Night to Sing'],Bramwell Tovey,['Bramwell Tovey'],89.75,100.0,,,,,2025-09-29T23:32:39.787530
2019-elite-08-oslofjord-brass,2019,Elite,8,Oslofjord Brass,Frode Amundsen,A Tale As Yet Untold,['A Tale As Yet Untold'],Philip Sparke,['Philip Sparke'],88.5,100.0,,,,,2025-09-29T23:32:39.787532
2019-elite-09-molde-brass-band,2019,Elite,9,Molde Brass Band,Russell Gray,Masquerade,['Masquerade'],Philip Wilby,['Philip Wilby'],87.75,100.0,,,,,2025-09-29T23:32:39.787534
2019-elite-10-musikkorpset-gjallarhorn,2019,Elite,10,Musikkorpset Gjallarhorn,Rune Gundersen,Isaiah 40,['Isaiah 40'],Robert Redhead,['Robert Redhead'],86.5,100.0,,,,,2025-09-29T23:32:39.787536
2019-1-divisjon-01-krohnengen-brass-band,2019,1. divisjon,1,Krohnengen Brass Band,Dr. Nicholas Childs,Fraternity,['Fraternity'],Thierry Deleruyelle,['Thierry Deleruyelle'],96.0,100.0,,,,,2025-09-29T23:32:39.787539
2019-1-divisjon-02-kleppe-musikklag,2019,1. divisjon,2,Kleppe Musikklag,John-Philip Hannevik,Titan's Progress,"[""Titan's Progress""]",Hermann Pallhuber,['Hermann Pallhuber'],95.0,100.0,,,,,2025-09-29T23:32:39.787541
2019-1-divisjon-03-rong-brass,2019,1. divisjon,3,Rong Brass,Erik Janssen,Sinfonietta no. 3,['Sinfonietta no. 3'],Etienne Crausaz,['Etienne Crausaz'],93.0,100.0,,,,,2025-09-29T23:32:39.787543
2019-1-divisjon-04-askøy-brass-band,2019,1. divisjon,4,Askøy Brass Band,Svein Henrik Giske,Paganini Variations,['Paganini Variations'],Philip Wilby,['Philip Wilby'],92.0,100.0,,,,,2025-09-29T23:32:39.787546
2019-1-divisjon-05-ila-brass-band,2019,1. divisjon,5,Ila Brass Band,Adam Cooke,Sinfonietta no. 3,['Sinfonietta no. 3'],Etienne Crausaz,['Etienne Crausaz'],91.0,100.0,,,,,2025-09-29T23:32:39.787548
2019-1-divisjon-06-flesland-musikklag,2019,1. divisjon,6,Flesland Musikklag,Thor-Arne Pedersen,Sinfonietta no. 3,['Sinfonietta no. 3'],Etienne Crausaz,['Etienne Crausaz'],89.0,100.0,,,,,2025-09-29T23:32:39.787550
2019-1-divisjon-07-tomra-brass-band,2019,1. divisjon,7,Tomra Brass Band,Frans Violet,Of Distant Memories,['Of Distant Memories'],Edward Gregson,['Edward Gregson'],88.0,100.0,,,,,2025-09-29T23:32:39.787552
2019-1-divisjon-08-radøy-brass,2019,1. divisjon,8,Radøy Brass,Torstein Aagaard-Nilsen,Dances and Arias,['Dances and Arias'],Edward Gregson,['Edward Gregson'],87.0,100.0,,,,,2025-09-29T23:32:39.787554
2019-1-divisjon-09-sandefjord-brass-symposium,2019,1. divisjon,9,Sandefjord Brass Symposium,Helge Haukås,Elgar Variations,['Elgar Variations'],Martin Ellerby,['Martin Ellerby'],86.0,100.0,,,,,2025-09-29T23:32:39.787556
2019-1-divisjon-10-tertnes-amatørkorps,2019,1. divisjon,10,Tertnes Amatørkorps,Tormod Flaten,Partita,['Partita'],Philip Sparke,['Philip Sparke'],85.0,100.0,,,,,2025-09-29T23:32:39.787558
2019-1-divisjon-11-hasle-brass,2019,1. divisjon,11,Hasle Brass,Robert Solberg Nilsen,Sounds,['Sounds'],John Golland,['John Golland'],84.0,100.0,,,,,2025-09-29T23:32:39.787561
