title,composer,performances,wins,win_rate,avg_points,win_rate_category
Music for Prague 1968,Karel Husa,5,1,20.0,91.6,10-20%
Illyrian Dances,Guy Woolfenden,5,1,20.0,88.7,10-20%
Blow out,Oddvar Schirmer Kvam,5,1,20.0,88.74,10-20%
Festive Piece,Clare E. Grundman,5,1,20.0,89.25999999999999,10-20%
"Armenian Dances, Part 1",Alfred Reed,23,4,17.391304347826086,89.54347826086956,10-20%
Music for a Festival,Philip Sparke,23,4,17.391304347826086,87.84782608695652,10-20%
Symphony no. 4,David Maslanka,6,0,16.666666666666664,91.80666666666667,10-20%
Gallimaufry,Guy Woolfenden,6,0,16.666666666666664,86.66666666666667,10-20%
Banja Luka,Jan de Haan,19,3,15.789473684210526,90.60526315789474,10-20%
Godspeed,Stephen Melillo,7,1,14.285714285714285,90.83285714285714,10-20%
Las Aventuras del Principito,Ferrer Ferran,7,1,14.285714285714285,89.21428571428571,10-20%
Mutanza,James Edward Curnow,7,1,14.285714285714285,90.24285714285715,10-20%
Capriccio,Marcel Poot,7,1,14.285714285714285,88.92857142857143,10-20%
Overture for fun,Henk van Lijnschooten,7,1,14.285714285714285,91.66428571428571,10-20%
Blue Shades,Frank Ticheli,23,3,13.043478260869565,90.02173913043478,10-20%
Incantation and Dance,John Barnes Chance,24,3,12.5,88.16666666666667,10-20%
Machu Picchu - City in the sky - the mystery of the hidden sun Temple,Satoshi Yagisawa,16,2,12.5,91.03125,10-20%
Lincolnshire Posy,"Percy Aldridge Grainger, arr. Frederick Fennell",8,1,12.5,89.875,10-20%
Norwegian Suite for Band,"Oscar Borg, arr. Åge Hermansen",8,1,12.5,88.71428571428571,10-20%
Delta Dances for Wind Band,Kenneth Platts,8,1,12.5,90.15,10-20%
Hispanola,Jan de Haan,17,1,11.76470588235294,88.67647058823529,10-20%
Danzón no. 2,"Arturo Marques, trans. Oliver Nickel",9,1,11.11111111111111,87.90666666666667,10-20%
Ballad for band,Gordon Jacob,9,1,11.11111111111111,84.2,10-20%
Fanfare and Choral,Egil Hovland,19,1,10.526315789473683,88.43842105263157,10-20%
Arabesque,Samuel R. Hazo,10,1,10.0,90.05,0-10%
Give us this Day,David Maslanka,10,1,10.0,90.95,0-10%
Festivo,Edward Gregson,20,2,10.0,87.8,0-10%
3 Fragments for Band,Hiroaki Kuwahara,11,1,9.090909090909092,88.14285714285714,0-10%
"Heroes, Lost and Fallen",David R. Gillingham,12,0,8.333333333333332,89.95833333333333,0-10%
New World Dances,Martin Ellerby,12,0,8.333333333333332,90.22916666666667,0-10%
Pulsare,Helge Hurum,12,0,8.333333333333332,88.4375,0-10%
Invocation and Toccata,James Barnes,12,0,8.333333333333332,89.33333333333333,0-10%
Variations on a Hymn by Louis Bourgeois,Claude T. Smith,12,0,8.333333333333332,86.70833333333333,0-10%
Symphonic Overture,James Barnes,13,1,7.6923076923076925,88.23076923076923,0-10%
Punchinello Overture,Alfred Reed,13,1,7.6923076923076925,85.61111111111111,0-10%
Firestorm,Stephen Bulla,13,1,7.6923076923076925,88.1923076923077,0-10%
Postcard,Frank Ticheli,13,1,7.6923076923076925,89.84615384615384,0-10%
Awayday,Adam Gorb,13,1,7.6923076923076925,88.61538461538461,0-10%
Figures Sonores,Henk Badings,13,1,7.6923076923076925,88.3076923076923,0-10%
Paris Sketches,Martin Ellerby,14,1,7.142857142857142,88.46428571428571,0-10%
Fanfare and Allegro,Clifton Williams,14,1,7.142857142857142,88.35714285714286,0-10%
Odyssey (Overture on an Epic Poem),James Curnow,15,1,6.666666666666667,87.3,0-10%
La Storia,Jacob de Haan,15,1,6.666666666666667,85.23333333333333,0-10%
Puszta (Four Gypsi Dances),Jan Van der Roost,32,2,6.25,89.3046875,0-10%
El Camino Real,Alfred Reed,18,1,5.555555555555555,88.38888888888889,0-10%
Dawn Flight,Philip Wilby,18,1,5.555555555555555,88.55555555555556,0-10%
"Legend, op. 81",James Barnes,18,1,5.555555555555555,88.91666666666667,0-10%
An Outdoor Overture,Aaron Copland,18,1,5.555555555555555,83.83333333333333,0-10%
Quatro Variazioni Musicali con Tema Populare,Kees Vlak,18,1,5.555555555555555,81.63888888888889,0-10%
The Forest of Arden,George Lloyd,19,0,5.263157894736842,88.6842105263158,0-10%
Dimensions,"Peter Graham, arr. Jan Segers",19,0,5.263157894736842,84.5,0-10%
Cartoon,Paul Hart,19,0,5.263157894736842,87.15789473684211,0-10%
A Jubilant Overture,Alfred Reed,20,1,5.0,87.675,0-10%
Variations for Band,John Brakstad,24,0,4.166666666666666,86.04583333333333,0-10%
