title,composer,performances,wins,win_rate,avg_points
Xerxes - A Concert March,John Mackey,5,0,0.0,88.9
Triptych,Øyvind Moe,5,0,0.0,87.3
Symphony for Wind Orchestra - Montage,Peter Graham,5,0,0.0,86.2
Equus,Eric Whitacre,5,1,20.0,89.9
"Jungla, Poema ambientado en la Selva Africana",Ferrer Ferran,5,0,0.0,89.7
"Symphony no. 1, The Lord of the Rings, ""Gandalf""",Johan de Meij,5,0,0.0,86.5
Inspiration,Jan de Haan,5,0,0.0,85.0
Extreme Make-Over,Johan de Meij,5,1,20.0,94.674
Symphony in B flat for Concert Band,Paul Hindemith,5,1,20.0,92.366
"Theme and Variations for Wind Band, Op. 43a",Arnold Schönberg,5,0,0.0,92.0
Paganini Variations,"Philip Wilby, arr. M. Scott McBride",5,1,20.0,90.4
Concita for Band,Helge Hurum,5,0,0.0,87.4
Music for Prague 1968,Karel Husa,5,1,20.0,91.6
Illyrian Dances,Guy Woolfenden,5,1,20.0,88.7
Burlesque,Georgi Salnikov,5,0,0.0,87.1
Blow out,Oddvar Schirmer Kvam,5,1,20.0,88.74
Festive Piece,Clare E. Grundman,5,1,20.0,89.25999999999999
Memorias de un Hombre de Ciudad,Luis Serrano Alarcòn,4,1,25.0,90.875
From Ancient Times,Jan Van der Roost,4,1,25.0,90.625
Tales and Legends,Etienne Crausaz,4,0,0.0,91.375
Divertimento,Oliver Waespi,4,0,0.0,92.375
Carnival,Thomas Doss,4,0,0.0,87.0
Utopia,Jacob de Haan,4,0,0.0,89.0
Norsk Rapsodi nr. 1,"Johan Halvorsen, arr. Stig Nordhagen",4,0,0.0,89.25
Aurora Awakes,John Mackey,4,0,0.0,87.7075
Around the World in 80 Days,Otto M. Schwarz,4,0,0.0,88.125
Fleodrodum,Eric Swiggers,4,0,0.0,86.5
"Prelude, Siciliano and Rondo","Malcom Arnold, arr. John Paynter",4,0,0.0,83.5
Symphonic Songs for Band,Robert Russell Bennett,4,0,0.0,89.0
Egmont,Bert Appermont,4,1,25.0,86.5
Balkanya,Jan van der Roost,4,0,0.0,93.0
Deliverance,Etienne Crausaz,4,0,0.0,89.25
Rikudim,Jan Van der Roost,4,0,0.0,87.875
Epiphanies (Fanfare and Chorales),Ron Nelson,4,0,0.0,89.5825
The Land of the Long White Cloud,Philip Sparke,4,0,0.0,87.375
Mont Blanc - La Voie Royale,Otto M. Schwarz,4,0,0.0,88.75
Overture Jubiloso,Frank Erickson,4,0,0.0,85.375
Virginia,Jacob de Haan,4,0,0.0,88.0
Eg ser deg utfor gluggen,"Trad, arr. Lars Erik Gudim",4,0,0.0,87.375
Mother Earth (A Fanfare),David Maslanka,4,0,0.0,89.125
Variasjoner over en folketone fra Valdres,Stig Nordhagen,4,1,25.0,91.3325
The Saga of Haakon the Good,Philip Sparke,4,0,0.0,87.25
Wedding Dance,Jacques Press,4,0,0.0,88.875
"Sheperd's Hey, English Morris Dance",Percy Aldridge Grainger,4,0,0.0,88.0
Songs of the West,Gustav Holst,4,1,25.0,88.0
Eufonie,Louis Toebosch,4,1,25.0,87.5
Sinfonietta,Stuart Johnson,4,1,25.0,87.42500000000001
El Jardin de Las Herspérides,José Suñer-Oriola,3,0,0.0,94.28000000000002
Fraternity,Thierry Deleruyelle,3,0,0.0,94.0
Spartacus,Jan Van der Roost,3,0,0.0,86.66666666666667
Redline Tango,John Mackey,3,0,0.0,87.26666666666667
Pequeña Suite para Banda,Luis Serrano Alarcòn,3,0,0.0,91.0
"The ""Gum-Suckers"" March",Percy Aldridge Grainger,3,0,0.0,86.0
Eldorado,Thierry Deleruyelle,3,0,0.0,90.66666666666667
Goddess of Fire,Steven Reineke,3,0,0.0,88.0
Golden Peak,Thierry Deleruyelle,3,0,0.0,88.0
Suite of Old American Dances,"Robert Russell Bennett, arr. James Curnow",3,0,33.33333333333333,88.0
Goldberg 2012,Svein Henrik Giske,3,0,0.0,96.34666666666668
Peter Pan,Ferrer Ferran,3,0,0.0,91.61
The Frozen Cathedral,John Mackey,3,0,33.33333333333333,93.0
Sketches on a Tudor Psalm,Fisher Tull,3,0,0.0,89.33333333333333
Huckleberry Finn Suite - Four Scenes from Mark Twain,Franco Cesarini,3,0,0.0,87.66666666666667
Music for a Solemnity,Jan de Haan,3,0,0.0,90.0
Underlige Aftenlufte,"Carl Nielsen, arr. Stig Gustafson",3,0,33.33333333333333,91.83333333333333
Concerto d’Amore,Jacob de Haan,3,0,0.0,87.0
Ildfuglen,"Igor Stravinsky, arr. Randy Earles/Frederick Fennell",3,0,33.33333333333333,94.11
Wild Nights!,Frank Ticheli,3,0,0.0,86.16666666666667
Ride,Samuel R. Hazo,3,0,33.33333333333333,88.66666666666667
Spiritual Planet,Wataru Hokoyama,3,0,0.0,87.16666666666667
Made in Bergen (Hommage à Harald Sæverud),Svein Henrik Giske,3,0,0.0,91.33333333333333
To a New Dawn,Philip Sparke,3,0,0.0,84.16666666666667
A Little Stress Music - Satire in Four Parts,Thomas Doss,3,0,0.0,88.16666666666667
Tales and Myths of Gothia,Jerker Johansson,3,0,0.0,88.16666666666667
The Adventures of Baron Munchausen,Bert Appermont,3,0,0.0,89.83333333333333
"Symphony no. 6, A Cotswold Symphony",Derek Bourgeois,3,0,33.33333333333333,91.33333333333333
Dance Movements,Philip Sparke,3,0,33.33333333333333,90.83333333333333
Homenaje a Joaquìn Sorolla Cuados Sinfònicos,Bernardo Adam Ferrero,3,0,0.0,89.0
Dance Suite,"Bela Bartok, arr. Eiji Suzuki",3,0,0.0,91.33333333333333
"Tanczi, 1. Trepak 2. Garavot 3. Troika",Jan Van der Roost,3,0,33.33333333333333,88.5
Diagram for Symphonic Band,André Waignein,3,0,33.33333333333333,91.33333333333333
Into the Joy of Spring,James Swearingen,3,0,0.0,86.0
Spiriti,Thomas Doss,3,0,0.0,94.0
Exultate,Samuel R. Hazo,3,0,0.0,86.83333333333333
Sacred Harp,Jay Bocook,3,0,0.0,88.0
Chorale and Variations,Philip Sparke,3,0,0.0,90.0
The Seventh Night of July,Itaru Sakai,3,0,0.0,90.0
William Byrd Suite,Gordon Jacob,3,0,33.33333333333333,89.0
Danza de los Duendes,Nancy Galbraith,3,0,0.0,92.11
Sinfonietta for Concert Band,Ingolf Dahl,3,0,33.33333333333333,90.16666666666667
Sevens,Samuel R. Hazo,3,0,33.33333333333333,90.0
The Incredibles,"Michael Giacchino, arr. Takashi Hoshide",3,0,33.33333333333333,91.16666666666667
Pines of Rome,"Ottorino Respighi, trans. Guy M. Duker",3,0,0.0,91.0
Sensemayà,"Silvestre Revueltas, arr. Christiaan Jansen",3,0,33.33333333333333,91.33333333333333
Poema Alpestre,Franco Cesarini,3,0,0.0,86.33333333333333
A Child’s Garden of Dreams,David Maslanka,3,0,0.0,90.61
Symphony no. 2,Frank Ticheli,3,0,0.0,89.0
Konzertmusik Für Blasorchester,Paul Hindemith,3,0,0.0,88.0
Journey to the Centre of the Earth,Peter Graham,3,0,0.0,87.33333333333333
"Variations on a Theme of Robert Schumann (""The Happy Farmer"")",Robert Edward Jager,3,0,0.0,86.33333333333333
Norwegian Dance,Torstein Aagaard-Nilsen,3,0,33.33333333333333,86.0
Folk Song Suite for Military Band,Ralph Vaughan Williams,3,0,33.33333333333333,86.66666666666667
The Light Eternal,James Swearingen,3,0,0.0,89.83333333333333
Portrait of a City,Philip Sparke,3,0,0.0,92.0
"Ross Roy, Overture for Band",Jacob de Haan,3,0,0.0,87.66666666666667
Galactic Empires,David R. Gillingham,3,0,0.0,85.5
The Legend of Ali Baba,"Bert Appermont, arr. Frank Van Baelen",3,0,0.0,90.0
"Puszta, 4. sats",Jan Van der Roost,3,0,33.33333333333333,88.66666666666667
Concert Prelude,Philip Sparke,3,0,0.0,85.16666666666667
Norwegian Rustic Dances,Helge Hurum,3,0,0.0,87.0
Elements of the Ancients,John Brakstad,3,0,33.33333333333333,91.16666666666667
Aquarium,Johan de Meij,3,0,0.0,84.66666666666667
Cobra,Jan Bosveld,3,0,0.0,91.0
Basie,Øyvind Westbye,3,0,33.33333333333333,89.66666666666667
A Festive Overture (for Concert Band),Alfred Reed,3,0,0.0,87.5
Ireland: Of Legend and Lore,Robert W. Smith,3,0,0.0,85.33333333333333
Entrata Festiva,Knut Nystedt,3,0,33.33333333333333,90.0
Flåklypa Medley,"Bent Fabricius Bjerre, arr. Lars Erik Gudim",3,0,0.0,84.83333333333333
Eine Kleine Yiddishe Ragmusik,Adam Gorb,3,0,0.0,85.33333333333333
Sinfonia Festiva,Arne Running,3,0,0.0,87.66666666666667
Trittico,Václav Nelhýbel,3,0,0.0,89.33333333333333
Four Colonial Country Dances,James Edward Curnow,3,0,33.33333333333333,85.0
Gaelforce,Peter Graham,3,0,33.33333333333333,88.33333333333333
The Old Railwaystation,John Brakstad,3,0,0.0,85.66666666666667
Serenade for Wind Band,Derek Bourgeois,3,0,0.0,90.0
Canto E Danza,Bjørn Mellemberg,3,0,0.0,89.0
Cantus Laetus,David R. Gillingham,3,0,0.0,90.33333333333333
"Festival Overture, Op. 39",Egil Hovland,3,0,0.0,90.16666666666667
First Suite for Band,Alfred Reed,3,0,0.0,88.66666666666667
Suite in B flat,Gordon Jacob,3,0,0.0,88.66666666666667
Nostradamus,Otto M. Schwarz,3,0,0.0,89.0
Pineapple Poll,Arthur Sullivan,3,0,33.33333333333333,91.5
Soldat van Oranje,Rogier van Otterlo,3,0,33.33333333333333,88.5
Epiphany,Henk Badings,3,0,33.33333333333333,91.5
Alpen Sketches,Warren Barker,3,0,33.33333333333333,89.1
